CC-VCUBE-06-11-22_22_27_53.log,Description,Produnt ID,Serial Number
,"Cisco Catalyst 8000V Edge Chassis", C8000V           , 940GXQBRWSX
,"Cisco Catalyst 8000V Edge Route Processor", C8000V           , JAB1303001C
,"Cisco Catalyst 8000V Edge Embedded Services Processor", C8000V           ,            
CC-VCUBE-06-11-22_22_27_58.log,Description,Produnt ID,Serial Number
,"Cisco Catalyst 8000V Edge Chassis", C8000V           , 940GXQBRWSX
,"Cisco Catalyst 8000V Edge Route Processor", C8000V           , JAB1303001C
,"Cisco Catalyst 8000V Edge Embedded Services Processor", C8000V           ,            
CC-VCUBE-06-11-22_22_28_03.log,Description,Produnt ID,Serial Number
,"Cisco Catalyst 8000V Edge Chassis", C8000V           , 940GXQBRWSX
,"Cisco Catalyst 8000V Edge Route Processor", C8000V           , JAB1303001C
,"Cisco Catalyst 8000V Edge Embedded Services Processor", C8000V           ,            
CC-VCUBE-06-11-22_22_28_08.log,Description,Produnt ID,Serial Number
,"Cisco Catalyst 8000V Edge Chassis", C8000V           , 940GXQBRWSX
,"Cisco Catalyst 8000V Edge Route Processor", C8000V           , JAB1303001C
,"Cisco Catalyst 8000V Edge Embedded Services Processor", C8000V           ,            
